Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Time [s],0,1136.9,2273.7,3410.5,4547.4,5684.2,6821,7957.8,9094.6,10231.5,11368.3,12505.1,13641.9,14778.7,15915.5,17052.4,18189.2,19326,20462.8,21599.7,22736.5,23873.3,25010.1,26146.9,27283.8,28420.6,29557.4,30694.2,31831.1,32967.9,34104.7,35241.5,36378.3,37515.6,38652,39788.8,40925.6,42062.5,43199.3,44336.1,45472.9,46609.7,47746.6,48883.4,50020.2,51157,52293.8,53430.7,54567.5,55704.3,56841.1,57978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp. [°C],37.2,37.4,37.3,37.3,36.9,37,37.3,36.9,37.3,36.6,37.3,37.2,37.1,37.3,37.1,37,37,37.1,37.1,37.2,37.2,37.2,37.1,36.9,37.2,37.2,37.3,37.2,37.2,37.2,37.2,37.3,37.1,37.3,37.1,37.2,37.2,37.3,37.2,37.3,37.1,37,37.1,37.1,37.2,37.1,37.2,37.2,37.1,36.9,37,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,0.1128000021,0.1164000034,0.1221000031,0.1315000057,0.1450999975,0.1639000028,0.1841000021,0.2084999979,0.2298000008,0.2556000054,0.2852999866,0.3219999969,0.3601000011,0.4032999873,0.4372999966,0.4683000147,0.5004000068,0.5267000198,0.5415999889,0.5591999888,0.5728999972,0.5834000111,0.5936999917,0.6140999794,0.6169000268,0.6161000133,0.6126999855,0.611100018,0.6075000167,0.6055999994,0.6019999981,0.5997999907,0.5970000029,0.5957000256,0.5928000212,0.5903999805,0.5888000131,0.5853000283,0.5832999945,0.5824000239,0.5802999735,0.5770000219,0.5769000053,0.5748000145,0.5726000071,0.570299983,0.567900002,0.5652999878,0.5622000098,0.559499979,0.5569999814,0.5544999838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,0.1118000001,0.1150999963,0.126000002,0.1404999942,0.1464000046,0.169599995,0.1900999993,0.2171999961,0.2396000028,0.2666999996,0.2939999998,0.33950001,0.3761999905,0.4203000069,0.457100004,0.4846000075,0.5141000152,0.5404000282,0.5584999919,0.5748999715,0.5935999751,0.6021000147,0.6122999787,0.6227999926,0.6420999765,0.646600008,0.6511999965,0.6421999931,0.6406000257,0.6374999881,0.6345999837,0.6323000193,0.6297000051,0.6284999847,0.6251000166,0.6230999827,0.6201999784,0.6183000207,0.6169000268,0.6144999862,0.6123999953,0.6096000075,0.6082999706,0.6069999933,0.6046000123,0.6015999913,0.5999000072,0.5967000127,0.5932000279,0.5911999941,0.5884000063,0.584100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,0.1186000034,0.118900001,0.1242000014,0.1334999949,0.1466999948,0.1661999971,0.1879999936,0.2144999951,0.2373999953,0.2727000117,0.3005000055,0.3416999876,0.3824000061,0.4280999899,0.4866999984,0.4963000119,0.52700001,0.5518000126,0.5673000216,0.5816000104,0.5963000059,0.605700016,0.6143000126,0.6233999729,0.6438000202,0.6491000056,0.646600008,0.6448000073,0.6439999938,0.6399999857,0.6389999986,0.6345000267,0.6322000027,0.6305000186,0.627300024,0.6263999939,0.6237999797,0.6220999956,0.6205000281,0.6183999777,0.617299974,0.6130999923,0.6108000278,0.6110000014,0.6072999835,0.6047000289,0.6036000252,0.5996000171,0.5985999703,0.5950000286,0.5953000188,0.5914000273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4,0.121299997,0.1208999977,0.1251000017,0.1338,0.1469999999,0.1670999974,0.1870000064,0.2126999944,0.2348999977,0.2624999881,0.2946999967,0.3343000114,0.3759999871,0.4192000031,0.4535000026,0.484100014,0.5124999881,0.5375999808,0.5550000072,0.5710999966,0.5886999965,0.6000000238,0.6089000106,0.6202999949,0.6394000053,0.6467000246,0.6445999742,0.6427999735,0.6403999925,0.638199985,0.635800004,0.6328999996,0.6308000088,0.6294000149,0.6276000142,0.6258999705,0.6233999729,0.621999979,0.6202999949,0.6183999777,0.6173999906,0.6146000028,0.6126999855,0.6115999818,0.6090000272,0.6065999866,0.6047999859,0.6015999913,0.6000999808,0.5968000293,0.594900012,0.5921000242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5,0.1130999997,0.1172999963,0.1247000024,0.1342000067,0.1485999972,0.1683000028,0.1908999979,0.2170999944,0.2378000021,0.2666000128,0.3005999923,0.3411999941,0.3853000104,0.4219000041,0.4496000111,0.4796999991,0.5099999905,0.5310999751,0.5485000014,0.5656999946,0.5773000121,0.5868999958,0.6014999747,0.617200017,0.6193000078,0.6197000146,0.6168000102,0.6155999899,0.6136000156,0.611100018,0.6089000106,0.6067000031,0.6043999791,0.6022999883,0.5996000171,0.5974000096,0.5953000188,0.5936999917,0.5917000175,0.5898000002,0.5873000026,0.5853999853,0.5835000277,0.5809999704,0.5781999826,0.575600028,0.5728999972,0.5703999996,0.5677000284,0.5644999743,0.5619000196,0.5587000251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A6,0.1111000031,0.1143999994,0.1221999973,0.132100001,0.1465000063,0.1692000031,0.1921000034,0.2145999968,0.2348999977,0.2632000148,0.2987999916,0.3386000097,0.3819000125,0.4167000055,0.4444000125,0.4724000096,0.4993000031,0.5213000178,0.5363000035,0.5518000126,0.5636000037,0.5742999911,0.581700027,0.5906000137,0.6054000258,0.6078000069,0.6047999859,0.6025000215,0.5997999907,0.597299993,0.5932999849,0.5899000168,0.586499989,0.5834000111,0.5799999833,0.576399982,0.5730000138,0.5695999861,0.5662000179,0.5620999932,0.5588999987,0.5550000072,0.5511000156,0.5483000278,0.5436000228,0.5389999747,0.5346000195,0.5309000015,0.5267000198,0.5214999914,0.516900003,0.5123999715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A7,0.1177999973,0.1221000031,0.1312000006,0.1468999982,0.1583999991,0.1789000034,0.2021999955,0.2289000005,0.2513999939,0.2786000073,0.3100999892,0.3488999903,0.3889999986,0.4214000106,0.4521999955,0.4781999886,0.5105999708,0.5389000177,0.5557000041,0.5730999708,0.5878000259,0.5975999832,0.6097000241,0.627300024,0.6377999783,0.6363000274,0.633400023,0.6317999959,0.6312000155,0.6287999749,0.6261000037,0.6233000159,0.6209999919,0.6202999949,0.6175000072,0.6155999899,0.6122999787,0.6116999984,0.608799994,0.6065000296,0.6050000191,0.6022999883,0.5996000171,0.59799999,0.5953999758,0.5927000046,0.5900999904,0.5873000026,0.5842999816,0.5813999772,0.5778999925,0.5751000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A8,0.1150999963,0.1220000014,0.1289999932,0.1377000064,0.1533000022,0.1790000051,0.1970999986,0.2260999978,0.2441000044,0.274300009,0.2969999909,0.3237000108,0.3553000093,0.3806000054,0.4005999863,0.4194000065,0.4408000112,0.4589000046,0.4718999863,0.4810000062,0.4878000021,0.4938000143,0.5008000135,0.5095000267,0.5152999759,0.5205000043,0.5252000093,0.5248000026,0.5267000198,0.5275999904,0.5275999904,0.5271999836,0.52700001,0.5257999897,0.5253999829,0.5242000222,0.5231999755,0.522300005,0.521600008,0.5196999907,0.5198000073,0.5195999742,0.5182999969,0.5173000097,0.5159999728,0.5137000084,0.5126000047,0.5109999776,0.5092999935,0.5073999763,0.5059000254,0.5048000216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
