Acanthochelys pallidipectoris
Actinemys marmorata
Amyda cartilaginea
Astrochelys radiata
Astrochelys yniphora
Batagur baska
Batagur borneoensis
Batagur dhongoka
Batagur kachuga
Batagur trivittata
Caretta caretta
Carettochelys insculpta
Centrochelys sulcata
Chelodina mccordi
Chelodina parkeri
Chelodina pritchardi
Chelonia mydas
Chelonoidis chilensis
Chelonoidis denticulata
Chelonoidis nigra
Chelydra rossignonii
Chitra chitra
Chitra indica
Clemmys guttata
Cuora amboinensis
Cuora aurocapitata
Cuora flavomarginata
Cuora galbinifrons
Cuora mccordi
Cuora mouhotii
Cuora pani
Cuora trifasciata
Cuora yunnanensis
Cuora zhoui
Dermatemys mawii
Dermochelys coriacea
Elseya bellii
Elseya branderhorsti
Elusor macrurus
Emydoidea blandingii
Eretmochelys imbricata
Erymnochelys madagascariensis
Geochelone gigantea
Geochelone platynota
Geoclemys hamiltonii
Geoemyda japonica
Geoemyda spengleri
Glyptemys insculpta
Glyptemys muhlenbergii
Gopherus agassizii
Gopherus flavomarginatus
Gopherus polyphemus
Graptemys barbouri
Graptemys caglei
Graptemys flavimaculata
Graptemys gibbonsi
Graptemys oculifera
Graptemys pearlensis
Hardella thurjii
Heosemys annandalii
Heosemys depressa
Heosemys grandis
Heosemys spinosa
Homopus solus
Hydromedusa maximiliani
Indotestudo elongata
Indotestudo forstenii
Indotestudo travancorica
Kinixys homeana
Kinosternon angustipons
Kinosternon dunni
Lepidochelys kempii
Lepidochelys olivacea
Leucocephalon yuwonoi
Macrochelys temminckii
Malacochersus tornieri
Malayemys subtrijuga
Manouria emys
Manouria impressa
Mauremys annamensis
Mauremys mutica
Mauremys nigricans
Mauremys reevesii
Mauremys sinensis
Melanochelys tricarinata
Mesoclemmys dahli
Mesoclemmys hogei
Mesoclemmys zuliae
Morenia ocellata
Morenia petersi
Nilssonia formosa
Nilssonia gangetica
Nilssonia hurum
Nilssonia leithii
Notochelys platynota
Orlitia borneensis
Palea steindachneri
Pangshura sylhetensis
Pelochelys bibroni
Pelochelys cantorii
Pelodiscus sinensis
Peltocephalus dumerilianus
Pelusios broadleyi
Platysternon megacephalum
Podocnemis erythrocephala
Podocnemis lewyana
Podocnemis sextuberculata
Podocnemis unifilis
Psammobates geometricus
Pseudemydura umbrina
Pseudemys alabamensis
Pyxis arachnoides
Pyxis planicauda
Rafetus euphraticus
Rafetus swinhoei
Rheodytes leukops
Sacalia bealei
Sacalia quadriocellata
Siebenrockiella crassicollis
Siebenrockiella leytensis
Sternotherus depressus
Terrapene carolina
Terrapene coahuila
Testudo graeca
Testudo horsfieldii
Testudo kleinmanni
Trachemys adiutrix
Trachemys decorata
Trachemys gaigeae
Trachemys ornata
Trachemys taylori
Trachemys terrapen
Trachemys yaquia
Vijayachelys silvatica
